,COUNTRY,REGION,CATEGORY,MEASURE,COMMENTS,SOURCE,ENTRY_DATE,ISO_ALP_2
66,Bahrain,Middle East,Movement restrictions,visa restrictions,"China, Hong Kong, Iran, Malaysia, Singapore, Thailand, South Korea and Italy",us embassy ,2020-03-14,BH
67,Armenia,Asia,Public health measures,awareness campaigns,Unknown,government of the republic of armenia,2020-03-14,AM
68,Bahrain,Middle East,Public health measures,introduction of isolation and quarantine policies,"everyone who is travelling from China, Hong Kong, Iran, Malaysia, Singapore, Thailand, South Korea and Italy",us embassy ,2020-03-14,BH
69,Bahrain,Middle East,Public health measures,health screenings in airports and border crossings,everyone,us embassy ,2020-03-14,BH
70,Bahrain,Middle East,Social distancing,Schools closure,2 weeks,isc,2020-03-14,BH
71,Armenia,Asia,Public health measures,introduction of isolation and quarantine policies,For those with symptoms,ministry of health,2020-03-14,AM
72,Venezuela,Americas,Movement restrictions,international flights suspension,From Europe and Colombia,ministry of foreign affairs - france,2020-03-14,VE
73,Venezuela,Americas,Social distancing,limit public gatherings,Unknown,ministry of foreign affairs - france,2020-03-14,VE
74,Azerbaijan,Asia,Social distancing,Schools closure,Unknown,isc,2020-03-14,AZ
75,Venezuela,Americas,Social distancing,Schools closure,Unknown,ministry of foreign affairs - france,2020-03-14,VE
76,Venezuela,Americas,Social distancing,Public services closure,Unknown,ministry of foreign affairs - france,2020-03-14,VE
77,Guyana,Americas,Public health measures,health screenings in airports and border crossings,"Possible from China, Japan, Malaysia, Iran, South Korea, Singapore, Thailand, Italy, USA, French Guiana, Brazil, Panama, St Vincent and the Grenadines, Jamaica and the Dominican Republic.",government of the uk,2020-03-14,GY
78,Guyana,Americas,Public health measures,introduction of isolation and quarantine policies,"Possible from China, Japan, Malaysia, Iran, South Korea, Singapore, Thailand, Italy, USA, French Guiana, Brazil, Panama, St Vincent and the Grenadines, Jamaica and the Dominican Republic.",government of the uk,2020-03-14,GY
79,Bahrain,Middle East,Social distancing,changes in prison-related policies, Al Khalifa issued a decree granting pardon for 901 prisoners. A further 585 inmates will serve out the rest of their sentences in rehabilitation and training programs,al monitor,2020-03-14,BH
80,Suriname,Americas,Public health measures,health screenings in airports and border crossings,Unknown,ministry of foreign affairs - france,2020-03-14,SR
81,Suriname,Americas,Public health measures,introduction of isolation and quarantine policies,Travellers from China and those with syntoms for 14 days or from risky areas,ministry of foreign affairs - france,2020-03-14,SR
82,Belgium,Europe,Public health measures,awareness campaigns,Unknown,government,2020-03-14,BE
83,Belgium,Europe,Governance and socio-economic measures,emergency administrative structures activated or established,"all decisions will be taken by a management cell composed of, among others, the Prime Minister, the competent ministers and the Ministers-Presidents.  ",government,2020-03-14,BE
84,Belgium,Europe,Social distancing,Schools closure,Unknown,government,2020-03-14,BE
85,Belgium,Europe,Social distancing,limit public gatherings,All including cafeterias restaurants etc.,government,2020-03-14,BE
86,Belgium,Europe,Governance and socio-economic measures,economic measures,"    Temporary layoffs due to force majeure 
    Temporary layoffs for economic reasons
    Payment plan for employer's social security contributions
    Payment plan VAT
    Payment plan for withholding tax
    Payment plan for personal/corporate tax
    Reduction of prepayment for self-employed
    Delay or exemption of the payment for employer's social security contributions for self-employed
    Obtaining a replacement income for self-employed (bridging right)
    Flexibility in the execution of federal public contracts",government,2020-03-14,BE
87,Panama,Americas,Social distancing,Schools closure,Unknown,ministry of foreign affairs - france,2020-03-14,PA
88,Panama,Americas,Social distancing,limit public gatherings,all public gatherings banned,ministry of foreign affairs - france,2020-03-14,PA
89,Panama,Americas,Public health measures,health screenings in airports and border crossings,Unknown,ministry of foreign affairs - france,2020-03-14,PA
90,Panama,Americas,Public health measures,introduction of isolation and quarantine policies,"14 days quarantine for travellers from Cina, South Korea, Italy and Iran",ministry of foreign affairs - france,2020-03-14,PA
91,Australia,Pacific,Movement restrictions,visa restrictions,"Citizens from China, Italy, South Korea, Iran, Cruise Ship are not allowed to enter country for 14 days from when they left said country. ",iata,2020-03-14,AU
92,Australia,Pacific,Public health measures,introduction of isolation and quarantine policies,"14 days self-quarantine, for nationals arriving from China, Italy, Iran or South Korea",iata,2020-03-14,AU
93,Australia,Pacific,Social distancing,limit public gatherings,Mass gatherings of more than 500 banned,department of health,2020-03-14,AU
94,Australia,Pacific,Governance and socio-economic measures,economic measures,Implementation of an economic response to the coronavirus totalling $17.6 billion across the forward estimates. ,department of health,2020-03-14,AU
95,Australia,Pacific,Public health measures,strengthening the public health system,Additional masks and funding,department of health,2020-03-14,AU
96,Australia,Pacific,Governance and socio-economic measures,emergency administrative structures activated or established,Australian Health Sector Emergency Plan Activated,department of health,2020-03-14,AU
97,Costa Rica,Americas,Public health measures,introduction of isolation and quarantine policies,"Visitors from China, MAY BE subjected to quarantine",government of the uk,2020-03-14,CR
98,Nicaragua,Americas,Public health measures,health screenings in airports and border crossings,Health screening in airports,ministry of foreign affairs - france,2020-03-14,NI
99,Honduras,Americas,Movement restrictions,Border checks,"Everyone travelling from Italy, China, Iran, Spain, France, Germany, Japan and South Korea",ministry of foreing affairs - italy,2020-03-14,HN
100,Honduras,Americas,Public health measures,introduction of isolation and quarantine policies,From above places self isolation for 14 days,ministry of foreing affairs - italy,2020-03-14,HN
101,Belize,Americas,Public health measures,health screenings in airports and border crossings,Nationals coming from affected countries,ministry of health,2020-03-14,BZ
102,El Salvador,Americas,Public health measures,introduction of isolation and quarantine policies,ALL travellers from abroad. Quarantine for 30 days.,ministry of foreign affairs - france,2020-03-14,SV
103,El Salvador,Americas,Public health measures,health screenings in airports and border crossings,Travellers from affected countries.,ministry of foreign affairs - france,2020-03-14,SV
104,Bahamas,Americas,Movement restrictions,visa restrictions,"Foreign nationals who have been in Italy, South Korea, China, or Iran over the last 20 days are unable to enter ",iata,2020-03-14,BS
105,Bahamas,Americas,Public health measures,introduction of isolation and quarantine policies,"Residents who have returned from China, South Korea, Italy, Iran will be immediately quarantined for 14 days.",iata,2020-03-14,BS
106,Bahamas,Americas,Social distancing,limit public gatherings,No longer hosting  OAS General Assembly and National events postponed/cancelled (i.e track and field championships),ministry of foreign affairs,2020-03-14,BS
107,Bahamas,Americas,Public health measures,awareness campaigns,Unknown,office of the prime minister,2020-03-14,BS
108,Guatemala,Americas,Movement restrictions,visa restrictions,"People coming from France, Germany, Spain, Italy, Chna, Iran, South Korea, North Korea in the 30 days before date of arrival.",ministry of foreign affairs - france,2020-03-14,GT
109,Guatemala,Americas,Public health measures,introduction of isolation and quarantine policies,Diplomats and residents coming from those countries are put in 7 days home quarantine,ministry of foreign affairs - france,2020-03-14,GT
110,Guatemala,Americas,Public health measures,health screenings in airports and border crossings,People coming from Panama,ministry of foreign affairs - france,2020-03-14,GT
111,Benin,Africa,Public health measures,introduction of isolation and quarantine policies,All nationals of countries with cases should self quarantine,us embassy ,2020-03-14,BJ
112,Benin,Africa,Public health measures,health screenings in airports and border crossings,Unknown,us embassy ,2020-03-14,BJ
113,Mexico,Americas,Public health measures,general recommendations,Unknown,ministry of health mexico,2020-03-14,MX
114,Brunei Darussalam,Asia,Social distancing,Schools closure,Unknown,garda,2020-03-14,BN
115,Brunei Darussalam,Asia,Social distancing,limit public gatherings,Unknown,garda,2020-03-14,BN
116,Brunei Darussalam,Asia,Movement restrictions,visa restrictions,"individuals arriving from Iran, Italy, as well as China's Hubei, Zhejiang, and Jiangsu provinces.",garda,2020-03-14,BN
117,Brunei Darussalam,Asia,Public health measures,awareness campaigns,Unknown,garda,2020-03-14,BN
118,Bulgaria,Europe,Public health measures,health screenings in airports and border crossings,Italy and China nationals,us embassy ,2020-03-14,BG
119,Bulgaria,Europe,Public health measures,introduction of isolation and quarantine policies,People who have travelled from Italy or China quarantined for 14 days,us embassy ,2020-03-14,BG
120,Bulgaria,Europe,Movement restrictions,international flights suspension,Unknown,us today,2020-03-14,BG
121,Bulgaria,Europe,Social distancing,Schools closure,"Schools, universities and other educational establishments and organizations will cancel classes. Distance learning will replace regular classes where possible.

Kindergartens and nurseries will be closed, as well as all forms of group work with children. (initially not included in school closures)",us today,2020-03-14,BG
122,Bulgaria,Europe,Social distancing,limit public gatherings,Unknown,us today,2020-03-14,BG
123,Bulgaria,Europe,Governance and socio-economic measures,state of emergency declared,Unknown,us today,2020-03-14,BG
124,Papua New Guinea,Pacific,Movement restrictions,visa restrictions,Foreign nationals who have been to China in the previous 14 days.,international sos,2020-03-15,PG
125,Papua New Guinea,Pacific,Movement restrictions,Border closure,Border crossing with indonesia,international sos,2020-03-15,PG
126,Papua New Guinea,Pacific,Movement restrictions,visa restrictions,No visa upon arrival,ministry of foreign affairs - italy,2020-03-15,PG
127,Papua New Guinea,Pacific,Public health measures,awareness campaigns,Handwashing campaign,unicef,2020-03-15,PG
128,Solomon Islands,Pacific,Movement restrictions,visa restrictions,"Travellers from Austria, Bahrain, Belgium, China, Denmark, France, Germany, Greece, Hong Kong, Indonesia, Iran, Iraq, Israel, Italy, Japan, Kuwait, Macau, Malaysia, Netherlands, Norway, Qatar, Singapore, South Korea, Spain, Sweden, Switzerland, Taiwan and Thailand in the past 14 days.",international sos,2020-03-15,SB
129,Solomon Islands,Pacific,Public health measures,health screenings in airports and border crossings,People from countries with cases,international sos,2020-03-15,SB
130,Solomon Islands,Pacific,Movement restrictions,international flights suspension,From Brisbane to Western Province,international sos,2020-03-15,SB
131,Cameroon,Africa,Public health measures,awareness campaigns,Unknown,ministry of health,2020-03-15,CM
132,Tuvalu,Pacific,Movement restrictions,visa restrictions,Passengers who have been to China in the last 30 days.,international sos,2020-03-15,TV
133,Tuvalu,Pacific,Public health measures,health screenings in airports and border crossings,Unknown,international sos,2020-03-15,TV
134,Tuvalu,Pacific,Movement restrictions,additional health/documents requirements upon arrival,Medical clearence for people who have been to affected countries in the last 30 days. Travellers must have remained 5 days prior to entry in a covid-free country,international sos,2020-03-15,TV
135,Vanuatu,Pacific,Movement restrictions,additional health/documents requirements upon arrival,"People travelling from China, Hong Kong, Macau, Taiwan, South Korea, Japan, Singapore, Iran, Italy",ministry of foreign affairs - italy,2020-03-15,VU
136,Vanuatu,Pacific,Public health measures,introduction of isolation and quarantine policies,"People travelling from China, Hong Kong, Macau, Taiwan, South Korea, Japan, Singapore, Iran, Italy in a thord country at least 14 days before entering Vanuatu",ministry of foreign affairs - france,2020-03-15,VU
137,Cameroon,Africa,Public health measures,health screenings in airports and border crossings,Unknown,ministry of health,2020-03-15,CM
138,Fiji,Pacific,Movement restrictions,visa restrictions,"People who have been in China, Italy, Iran or North Korea in the 14 days before arrival can't enter the country",ministry of foreign affairs - france,2020-03-15,FJ
139,Fiji,Pacific,Public health measures,health screenings in airports and border crossings,Unknown,ministry of foreign affairs - france,2020-03-15,FJ
140,Cte d'Ivoire,Africa,Public health measures,health screenings in airports and border crossings,All arriving passengers at Abijan airport are checked for fever and asked to wash their hands.,france24,2020-03-15,Cte d'Ivoire
141,Tonga,Pacific,Public health measures,introduction of isolation and quarantine policies,"People from Cina, Iraly, Iran and Daegu and Cheongdo in South Korea, need to spen 14 days of quarantine in a corona-free country",ministry of foreign affairs - france,2020-03-15,TO
142,Tonga,Pacific,Movement restrictions,visa restrictions,"People from Cina, Iraly, Iran and Daegu and Cheongdo in South Korea, need to spen 14 days of quarantine in a corona-free country",ministry of foreign affairs - france,2020-03-15,TO
143,Tonga,Pacific,Movement restrictions,additional health/documents requirements upon arrival,"People from Cina, Iraly, Iran and Daegu and Cheongdo in South Korea, need to present a medical certificate.",ministry of foreign affairs - france,2020-03-15,TO
144,Nauru,Pacific,Movement restrictions,visa restrictions,"All travellers who have transited through or have been in mainland China, Hong Kong (SAR China), Italy, South Korea or Macao (SAR China) in the past 21 days will not be allowed to enter Nauru.",international sos,2020-03-15,NR
145,Kiribati,Pacific,Movement restrictions,visa restrictions,All passengers who have been in a country with confirmed cases of COVID-19 must have stayed in a country with no confirmed cases for at least 14 days and provide medical clearance to confirm that they are free of the virus prior to entry.,international sos,2020-03-15,KI
146,Kiribati,Pacific,Public health measures,introduction of isolation and quarantine policies,All passengers who have been in a country with confirmed cases of COVID-19 must have stayed in a country with no confirmed cases for at least 14 days and provide medical clearance to confirm that they are free of the virus prior to entry.,international sos,2020-03-15,KI
147,Kiribati,Pacific,Movement restrictions,additional health/documents requirements upon arrival,All passengers who have been in a country with confirmed cases of COVID-19 must have stayed in a country with no confirmed cases for at least 14 days and provide medical clearance to confirm that they are free of the virus prior to entry.,international sos,2020-03-15,KI
148,Cameroon,Africa,Governance and socio-economic measures,emergency administrative structures activated or established,Unknown,ministry of health,2020-03-15,CM
149,Indonesia,Asia,Movement restrictions,visa restrictions,"All foreign travellers, with the exception of nationals, who have been in or transited through mainland China, excluding Hong Kong and Macao, in the previous 14 days, including the airline crew, will not be granted a visa or granted entry/transit.",international sos,2020-03-15,ID
150,Indonesia,Asia,Movement restrictions,visa restrictions,"Visa-on-arrival and visa free entry have been suspended for mainland Chinese nationals, with exception to Hong Kong and Macao (both SAR) passport holders. It has also been suspended for all travellers from Iran, Italy, mainland China and South Korea.",international sos,2020-03-15,ID
151,Indonesia,Asia,Movement restrictions,visa restrictions,"From 8 March, the entry and transit ban will be expanded to include travellers with a travel history to Daegu and Gyeongsangbuk-do in South Korea; Tehran, Qom and Gilan in Iran; Lombardi, Venetto, Emilia-Romagna, Marche and Piedmont regions in Italy 14 days prior to arrival.",international sos,2020-03-15,ID
152,Indonesia,Asia,Movement restrictions,additional health/documents requirements upon arrival,"Travellers from Iran, Italy and South Korea who come from outside the above mentioned areas must provide medical certificates issued within seven days by health authorities, proving them free of COVID-19 upon arrival",international sos,2020-03-15,ID
153,Cameroon,Africa,Movement restrictions,additional health/documents requirements upon arrival,"All visas applicants wishing to attend the 2020 African Nations Championship soccer tournament from April 4 to April 25, 2020",us embassy ,2020-03-15,CM
154,Indonesia,Asia,Movement restrictions,international flights suspension,From and to China,ministry of foreign affairs - france,2020-03-15,ID
155,Cameroon,Africa,Public health measures,introduction of isolation and quarantine policies,"Everyone with symptoms in isolation centers at Yaound Central Hospital, Laquintinie Hospital in Douala, Garoua Regional Hospital, and Kribi District Hospital ",us embassy ,2020-03-15,CM
156,Senegal,Africa,Social distancing,Schools closure,Unknown,ministere de la sant et de l'action sociale,2020-03-15,SN
157,Philippines,Asia,Public health measures,introduction of isolation and quarantine policies,Metropolitan Manila (with school closure included),ministry of foreign affairs - france,2020-03-15,PH
158,Philippines,Asia,Movement restrictions,domestic travel restrictions,No travel to or from manila,ministry of foreign affairs - france,2020-03-15,PH
159,Chad,Africa,Public health measures,health screenings in airports and border crossings,"China, South Korea, Iran, Italy, and France this list is non exhaustive they may add nationalities with no warning",garda,2020-03-15,TD
160,Philippines,Asia,Social distancing,limit public gatherings,Ban on public gatherings,philippine news agency,2020-03-15,PH
161,Chad,Africa,Public health measures,introduction of isolation and quarantine policies,"China, South Korea, Iran, Italy, and France this list is non exhaustive they may add nationalities with no warning",garda,2020-03-15,TD
162,Philippines,Asia,Governance and socio-economic measures,emergency administrative structures activated or established,Limited public services.. Only Emergency and Health.,ministry of foreign affairs - france,2020-03-15,PH
163,Philippines,Asia,Social distancing,Public services closure,Limited public services; e.g. malls,ministry of foreign affairs - france,2020-03-15,PH
164,Philippines,Asia,Movement restrictions,visa restrictions,"Travellers from China, Hong Kong, Macau, South Korea.",ministry of foreign affairs - france,2020-03-15,PH
165,Philippines,Asia,Movement restrictions,visa restrictions,"Prohibition of all travel from the Philippines to China, Hong Kong, Macao or the Republic of Korea, except for expatriate Filipinos and permanent residents in the destinations concerned.",ministry of foreign affairs - france,2020-03-15,PH
166,Portugal,Europe,Movement restrictions,international flights suspension,From and to Italy,international sos,2020-03-15,PT
167,Portugal,Europe,Social distancing,limit public gatherings,>1000 people,portugalnews,2020-03-15,PT
168,Portugal,Europe,Movement restrictions,visa restrictions,Passengers of cruise ships are not allowed to disembark in Portuguese ports.,portugalnews,2020-03-15,PT
169,Portugal,Europe,Social distancing,Schools closure,School and universities,portugalnews,2020-03-15,PT
170,Malaysia,Asia,Public health measures,health screenings in airports and border crossings,Unknown,portugalnews,2020-03-15,MY
171,Burkina Faso,Africa,Social distancing,Schools closure,Authorities announced  on 15 March the closure of schools and univerities in entire country to last from 16 March until 1 April,lefaso,2020-03-15,BF
172,Burkina Faso,Africa,Social distancing,limit public gatherings,Public gatherings and demonstrations banned until 30 April,garda,2020-03-15,BF
173,Burkina Faso,Africa,Public health measures,health screenings in airports and border crossings,Thermal cameras used in airports,garda,2020-03-15,BF
174,Burkina Faso,Africa,Movement restrictions,Border checks,Enhanced border controls,garda,2020-03-15,BF
175,Burkina Faso,Africa,Public health measures,awareness campaigns,Video and infographics on health and sanitary guidelines,ministry of health,2020-03-15,BF
176,China,Asia,Social distancing,Schools closure,"SCFN's (schools for the children of foreign nationals) were due to return on 3rdÿ February and Private and Public Schools on 10th February. Online learning hasÿ replaced school based teaching. For Chinese private and public schools onlineÿ learning was implemented from March 2nd, albeit many private schools have beenÿ facilitating online learning since 10th February. There is as yet no date for their return.ÿ School leaders in Shanghai have been told that they will be given plenty of notice (they take this to mean at least three weeks notice) prior to opening. Some schools have received letters or petitions from parents requesting a reduction in fees and a commitment to catch up with extra lessons delivered during the school holidays. School staff, parents and pupils returning to Shanghai from anywhere in the world have been asked to self-isolate for 14 days. School staff, parents and pupils returning to Shanghai from Japan, South Korea, Italy and Iran may be placed in quarantine for 14 days",iscresearch,2020-03-15,CN
177,China,Asia,Social distancing,Public services closure,Unknown,unknown,2020-03-15,CN
178,China,Asia,Public health measures,introduction of isolation and quarantine policies,all people with symptoms and in some regions the whole population,ministry of health,2020-03-15,CN
179,China,Asia,Social distancing,limit public gatherings,all provincial-level regions on the Chinese mainland,ministry of health,2020-03-15,CN
180,China,Asia,Governance and socio-economic measures,economic measures,people with low income levels,ministry of health,2020-03-15,CN
181,China,Asia,Public health measures,awareness campaigns,Unknown,unknown,2020-03-15,CN
182,China,Asia,Public health measures,health screenings in airports and border crossings,International flighes,ministry of health,2020-03-15,CN
183,China,Asia,Governance and socio-economic measures,emergency administrative structures activated or established,Unknown,unknown,2020-03-15,CN
184,China,Asia,Movement restrictions,domestic travel restrictions,Unknown,ministry of health,2020-03-15,CN
185,China,Asia,Public health measures,strengthening the public health system,"Two hospitals, namely Huoshenshan and Leishenshan, were built in Wuhan from scratch in days, with a capacity of 1,000 and 1,600 beds respectively, for treating COVID-19 patients. Some public venues were converted into temporary hospitals. China has sent 42,600 healthcare professionals to help battle COVID-19 in Hubei province, and among them, 19,000 specialize in intensive care, according to figures unveiled by health authorities.",ministry of health,2020-03-15,CN
186,China,Asia,Governance and socio-economic measures,state of emergency declared,Unknown,novinite,2020-03-15,CN
187,China,Asia,Lockdown,partial lockdown,In many regions,ministry of health,2020-03-15,CN
188,China,Asia,Movement restrictions,additional health/documents requirements upon arrival,everyone arriving from abroad,french embassy,2020-03-15,CN
189,Congo,Africa,Public health measures,introduction of isolation and quarantine policies,"14day quarantine for high risk countries including mainland China, South Korea, Iran, Italy. Also for travelers with COVID-19 symptoms.",us embassy,2020-03-15,CG
