,COUNTRY,REGION,CATEGORY,MEASURE,COMMENTS,SOURCE,ENTRY_DATE,ISO_ALP_2,CONFIRMED,DEATHS,POPULATION
35,Bangladesh,Asia,Public health measures,introduction of isolation and quarantine policies,"14 days self-quarantine, foreign nationals arriving from China, Italy, Iran or South Korea",uk government travel advice,2020-03-20,BD,20,1,156118464
36,Chile,Americas,Public health measures,introduction of isolation and quarantine policies,Passengers from Spain or Italy,ministry of foreign affairs - france,2020-03-14,CL,74,0,16746491
37,Uruguay,Americas,Public health measures,introduction of isolation and quarantine policies,"People from France, Spain, Italy, Germany, Singappor, South Korea, Iran, China",ministry of foreign affairs - france,2020-03-14,UY,4,0,3477000
38,Peru,Americas,Public health measures,introduction of isolation and quarantine policies,"Self quarantine for people who transited France, Italy, Spain and China",ministry of foreign affairs - france,2020-03-14,PE,38,0,29907003
39,Peru,Americas,Movement restrictions,international flights suspension,From Europe and Asia,ministry of foreign affairs - france,2020-03-14,PE,38,0,29907003
40,Portugal,Europe,Movement restrictions,international flights suspension,Flights from Portugal to Italy suspended,ministry of foreign affairs - italy,2020-03-14,PT,169,0,10676000
41,Ecuador,Americas,Public health measures,introduction of isolation and quarantine policies,"Self quarantine for 14 days from people from China, Spain, France, Iran, Germany, South Korea, Italy. / Quarantine in the city of arrival.",ministry of foreign affairs - france,2020-03-14,EC,28,2,14790608
42,Colombia,Americas,Public health measures,introduction of isolation and quarantine policies,"Quarantine for 14 days to travellers from Italy, France, Spain and China.",ministry of foreing affairs - italy,2020-03-14,CO,22,0,47790000
43,Colombia,Americas,Movement restrictions,additional health/documents requirements upon arrival,"People from France, Spain, Italy, Germany, Singappor, South Korea, Iran, China. Madndarory healt insurance, and additional rules for the first 14 days in the country.",ministry of foreing affairs - italy,2020-03-14,CO,22,0,47790000
44,Armenia,Asia,Public health measures,health screenings in airports and border crossings,New arrivals also fill out information forms,government of the republic of armenia,2020-03-14,AM,18,0,2968000
45,Armenia,Asia,Movement restrictions,Border closure,iran for 2 weeks,us embassy ,2020-03-14,AM,18,0,2968000
46,Armenia,Asia,Movement restrictions,visa restrictions,"Iran, China",iata,2020-03-14,AM,18,0,2968000
47,Armenia,Asia,Movement restrictions,Border closure,"Georgia, two weeks closure (likely extended) *citizens may return to respected countries and some cargo permitted to cross ",us embassy ,2020-03-14,AM,18,0,2968000
48,Armenia,Asia,Public health measures,awareness campaigns,Unknown,government of the republic of armenia,2020-03-14,AM,18,0,2968000
49,Armenia,Asia,Public health measures,introduction of isolation and quarantine policies,For those with symptoms,ministry of health,2020-03-14,AM,18,0,2968000
50,Bahrain,Middle East,Movement restrictions,visa restrictions,"China, Hong Kong, Iran, Malaysia, Singapore, Thailand, South Korea and Italy",us embassy ,2020-03-14,BH,214,0,738004
51,Bahrain,Middle East,Public health measures,introduction of isolation and quarantine policies,"everyone who is travelling from China, Hong Kong, Iran, Malaysia, Singapore, Thailand, South Korea and Italy",us embassy ,2020-03-14,BH,214,0,738004
52,Bahrain,Middle East,Public health measures,health screenings in airports and border crossings,everyone,us embassy ,2020-03-14,BH,214,0,738004
53,Bahrain,Middle East,Social distancing,Schools closure,2 weeks,isc,2020-03-14,BH,214,0,738004
54,Bahrain,Middle East,Social distancing,changes in prison-related policies, Al Khalifa issued a decree granting pardon for 901 prisoners. A further 585 inmates will serve out the rest of their sentences in rehabilitation and training programs,al monitor,2020-03-14,BH,214,0,738004
55,Venezuela,Americas,Movement restrictions,international flights suspension,From Europe and Colombia,ministry of foreign affairs - france,2020-03-14,VE,2,0,27223228
56,Venezuela,Americas,Social distancing,limit public gatherings,Unknown,ministry of foreign affairs - france,2020-03-14,VE,2,0,27223228
57,Venezuela,Americas,Social distancing,Schools closure,Unknown,ministry of foreign affairs - france,2020-03-14,VE,2,0,27223228
58,Venezuela,Americas,Social distancing,Public services closure,Unknown,ministry of foreign affairs - france,2020-03-14,VE,2,0,27223228
59,Guyana,Americas,Public health measures,health screenings in airports and border crossings,"Possible from China, Japan, Malaysia, Iran, South Korea, Singapore, Thailand, Italy, USA, French Guiana, Brazil, Panama, St Vincent and the Grenadines, Jamaica and the Dominican Republic.",government of the uk,2020-03-14,GY,1,1,748486
60,Guyana,Americas,Public health measures,introduction of isolation and quarantine policies,"Possible from China, Japan, Malaysia, Iran, South Korea, Singapore, Thailand, Italy, USA, French Guiana, Brazil, Panama, St Vincent and the Grenadines, Jamaica and the Dominican Republic.",government of the uk,2020-03-14,GY,1,1,748486
61,Suriname,Americas,Public health measures,health screenings in airports and border crossings,Unknown,ministry of foreign affairs - france,2020-03-14,SR,1,0,492829
62,Suriname,Americas,Public health measures,introduction of isolation and quarantine policies,Travellers from China and those with syntoms for 14 days or from risky areas,ministry of foreign affairs - france,2020-03-14,SR,1,0,492829
63,Belgium,Europe,Public health measures,awareness campaigns,Unknown,government,2020-03-14,BE,689,4,10403000
64,Belgium,Europe,Governance and socio-economic measures,emergency administrative structures activated or established,"all decisions will be taken by a management cell composed of, among others, the Prime Minister, the competent ministers and the Ministers-Presidents.  ",government,2020-03-14,BE,689,4,10403000
65,Belgium,Europe,Social distancing,Schools closure,Unknown,government,2020-03-14,BE,689,4,10403000
66,Belgium,Europe,Social distancing,limit public gatherings,All including cafeterias restaurants etc.,government,2020-03-14,BE,689,4,10403000
67,Belgium,Europe,Governance and socio-economic measures,economic measures,"    Temporary layoffs due to force majeure 
    Temporary layoffs for economic reasons
    Payment plan for employer's social security contributions
    Payment plan VAT
    Payment plan for withholding tax
    Payment plan for personal/corporate tax
    Reduction of prepayment for self-employed
    Delay or exemption of the payment for employer's social security contributions for self-employed
    Obtaining a replacement income for self-employed (bridging right)
    Flexibility in the execution of federal public contracts",government,2020-03-14,BE,689,4,10403000
68,Panama,Americas,Social distancing,Schools closure,Unknown,ministry of foreign affairs - france,2020-03-14,PA,36,1,3410676
69,Panama,Americas,Social distancing,limit public gatherings,all public gatherings banned,ministry of foreign affairs - france,2020-03-14,PA,36,1,3410676
70,Panama,Americas,Public health measures,health screenings in airports and border crossings,Unknown,ministry of foreign affairs - france,2020-03-14,PA,36,1,3410676
71,Panama,Americas,Public health measures,introduction of isolation and quarantine policies,"14 days quarantine for travellers from Cina, South Korea, Italy and Iran",ministry of foreign affairs - france,2020-03-14,PA,36,1,3410676
72,Australia,Pacific,Movement restrictions,visa restrictions,"Citizens from China, Italy, South Korea, Iran, Cruise Ship are not allowed to enter country for 14 days from when they left said country. ",iata,2020-03-14,AU,250,3,21515754
73,Australia,Pacific,Public health measures,introduction of isolation and quarantine policies,"14 days self-quarantine, for nationals arriving from China, Italy, Iran or South Korea",iata,2020-03-14,AU,250,3,21515754
74,Australia,Pacific,Social distancing,limit public gatherings,Mass gatherings of more than 500 banned,department of health,2020-03-14,AU,250,3,21515754
75,Australia,Pacific,Governance and socio-economic measures,economic measures,Implementation of an economic response to the coronavirus totalling $17.6 billion across the forward estimates. ,department of health,2020-03-14,AU,250,3,21515754
76,Australia,Pacific,Public health measures,strengthening the public health system,Additional masks and funding,department of health,2020-03-14,AU,250,3,21515754
77,Australia,Pacific,Governance and socio-economic measures,emergency administrative structures activated or established,Australian Health Sector Emergency Plan Activated,department of health,2020-03-14,AU,250,3,21515754
78,Costa Rica,Americas,Public health measures,introduction of isolation and quarantine policies,"Visitors from China, MAY BE subjected to quarantine",government of the uk,2020-03-14,CR,26,0,4516220
79,Guatemala,Americas,Movement restrictions,visa restrictions,"People coming from France, Germany, Spain, Italy, Chna, Iran, South Korea, North Korea in the 30 days before date of arrival.",ministry of foreign affairs - france,2020-03-14,GT,1,0,13550440
80,Guatemala,Americas,Public health measures,introduction of isolation and quarantine policies,Diplomats and residents coming from those countries are put in 7 days home quarantine,ministry of foreign affairs - france,2020-03-14,GT,1,0,13550440
81,Guatemala,Americas,Public health measures,health screenings in airports and border crossings,People coming from Panama,ministry of foreign affairs - france,2020-03-14,GT,1,0,13550440
82,Mexico,Americas,Public health measures,general recommendations,Unknown,ministry of health mexico,2020-03-14,MX,26,0,112468855
83,Brunei Darussalam,Asia,Social distancing,Schools closure,Unknown,garda,2020-03-14,BN,40,0,395027
84,Brunei Darussalam,Asia,Social distancing,limit public gatherings,Unknown,garda,2020-03-14,BN,40,0,395027
85,Brunei Darussalam,Asia,Movement restrictions,visa restrictions,"individuals arriving from Iran, Italy, as well as China's Hubei, Zhejiang, and Jiangsu provinces.",garda,2020-03-14,BN,40,0,395027
86,Brunei Darussalam,Asia,Public health measures,awareness campaigns,Unknown,garda,2020-03-14,BN,40,0,395027
87,Bulgaria,Europe,Public health measures,health screenings in airports and border crossings,Italy and China nationals,us embassy ,2020-03-14,BG,41,2,7148785
88,Bulgaria,Europe,Public health measures,introduction of isolation and quarantine policies,People who have travelled from Italy or China quarantined for 14 days,us embassy ,2020-03-14,BG,41,2,7148785
89,Bulgaria,Europe,Movement restrictions,international flights suspension,Unknown,us today,2020-03-14,BG,41,2,7148785
90,Bulgaria,Europe,Social distancing,Schools closure,"Schools, universities and other educational establishments and organizations will cancel classes. Distance learning will replace regular classes where possible.

Kindergartens and nurseries will be closed, as well as all forms of group work with children. (initially not included in school closures)",us today,2020-03-14,BG,41,2,7148785
91,Bulgaria,Europe,Social distancing,limit public gatherings,Unknown,us today,2020-03-14,BG,41,2,7148785
92,Bulgaria,Europe,Governance and socio-economic measures,state of emergency declared,Unknown,us today,2020-03-14,BG,41,2,7148785
93,Indonesia,Asia,Movement restrictions,visa restrictions,"All foreign travellers, with the exception of nationals, who have been in or transited through mainland China, excluding Hong Kong and Macao, in the previous 14 days, including the airline crew, will not be granted a visa or granted entry/transit.",international sos,2020-03-15,ID,117,5,242968342
94,Indonesia,Asia,Movement restrictions,visa restrictions,"Visa-on-arrival and visa free entry have been suspended for mainland Chinese nationals, with exception to Hong Kong and Macao (both SAR) passport holders. It has also been suspended for all travellers from Iran, Italy, mainland China and South Korea.",international sos,2020-03-15,ID,117,5,242968342
95,Indonesia,Asia,Movement restrictions,visa restrictions,"From 8 March, the entry and transit ban will be expanded to include travellers with a travel history to Daegu and Gyeongsangbuk-do in South Korea; Tehran, Qom and Gilan in Iran; Lombardi, Venetto, Emilia-Romagna, Marche and Piedmont regions in Italy 14 days prior to arrival.",international sos,2020-03-15,ID,117,5,242968342
96,Indonesia,Asia,Movement restrictions,additional health/documents requirements upon arrival,"Travellers from Iran, Italy and South Korea who come from outside the above mentioned areas must provide medical certificates issued within seven days by health authorities, proving them free of COVID-19 upon arrival",international sos,2020-03-15,ID,117,5,242968342
97,Indonesia,Asia,Movement restrictions,international flights suspension,From and to China,ministry of foreign affairs - france,2020-03-15,ID,117,5,242968342
98,Philippines,Asia,Public health measures,introduction of isolation and quarantine policies,Metropolitan Manila (with school closure included),ministry of foreign affairs - france,2020-03-15,PH,140,11,99900177
99,Philippines,Asia,Movement restrictions,domestic travel restrictions,No travel to or from manila,ministry of foreign affairs - france,2020-03-15,PH,140,11,99900177
100,Philippines,Asia,Social distancing,limit public gatherings,Ban on public gatherings,philippine news agency,2020-03-15,PH,140,11,99900177
101,Philippines,Asia,Governance and socio-economic measures,emergency administrative structures activated or established,Limited public services.. Only Emergency and Health.,ministry of foreign affairs - france,2020-03-15,PH,140,11,99900177
102,Philippines,Asia,Social distancing,Public services closure,Limited public services; e.g. malls,ministry of foreign affairs - france,2020-03-15,PH,140,11,99900177
103,Philippines,Asia,Movement restrictions,visa restrictions,"Travellers from China, Hong Kong, Macau, South Korea.",ministry of foreign affairs - france,2020-03-15,PH,140,11,99900177
104,Philippines,Asia,Movement restrictions,visa restrictions,"Prohibition of all travel from the Philippines to China, Hong Kong, Macao or the Republic of Korea, except for expatriate Filipinos and permanent residents in the destinations concerned.",ministry of foreign affairs - france,2020-03-15,PH,140,11,99900177
105,Portugal,Europe,Movement restrictions,international flights suspension,From and to Italy,international sos,2020-03-15,PT,245,0,10676000
106,Portugal,Europe,Social distancing,limit public gatherings,>1000 people,portugalnews,2020-03-15,PT,245,0,10676000
107,Portugal,Europe,Movement restrictions,visa restrictions,Passengers of cruise ships are not allowed to disembark in Portuguese ports.,portugalnews,2020-03-15,PT,245,0,10676000
108,Portugal,Europe,Social distancing,Schools closure,School and universities,portugalnews,2020-03-15,PT,245,0,10676000
109,Malaysia,Asia,Public health measures,health screenings in airports and border crossings,Unknown,portugalnews,2020-03-15,MY,428,0,28274729
110,Malaysia,Asia,Social distancing,limit public gatherings,Unknown,international sos,2020-03-15,MY,428,0,28274729
111,Malaysia,Asia,Movement restrictions,visa restrictions,People travelling from a number of countries either complete ban or 14 days quarantine (if permanent residents of Malaysia),international sos,2020-03-15,MY,428,0,28274729
112,Malaysia,Asia,Movement restrictions,visa restrictions,No cruse ships allowed in ports.,international sos,2020-03-15,MY,428,0,28274729
113,China,Asia,Social distancing,Schools closure,"SCFN's (schools for the children of foreign nationals) were due to return on 3rdÿ February and Private and Public Schools on 10th February. Online learning hasÿ replaced school based teaching. For Chinese private and public schools onlineÿ learning was implemented from March 2nd, albeit many private schools have beenÿ facilitating online learning since 10th February. There is as yet no date for their return.ÿ School leaders in Shanghai have been told that they will be given plenty of notice (they take this to mean at least three weeks notice) prior to opening. Some schools have received letters or petitions from parents requesting a reduction in fees and a commitment to catch up with extra lessons delivered during the school holidays. School staff, parents and pupils returning to Shanghai from anywhere in the world have been asked to self-isolate for 14 days. School staff, parents and pupils returning to Shanghai from Japan, South Korea, Italy and Iran may be placed in quarantine for 14 days",iscresearch,2020-03-15,CN,81003,3203,1330044000
114,China,Asia,Social distancing,Public services closure,Unknown,unknown,2020-03-15,CN,81003,3203,1330044000
115,China,Asia,Public health measures,introduction of isolation and quarantine policies,all people with symptoms and in some regions the whole population,ministry of health,2020-03-15,CN,81003,3203,1330044000
116,China,Asia,Social distancing,limit public gatherings,all provincial-level regions on the Chinese mainland,ministry of health,2020-03-15,CN,81003,3203,1330044000
117,China,Asia,Governance and socio-economic measures,economic measures,people with low income levels,ministry of health,2020-03-15,CN,81003,3203,1330044000
118,China,Asia,Public health measures,awareness campaigns,Unknown,unknown,2020-03-15,CN,81003,3203,1330044000
119,China,Asia,Public health measures,health screenings in airports and border crossings,International flighes,ministry of health,2020-03-15,CN,81003,3203,1330044000
120,China,Asia,Governance and socio-economic measures,emergency administrative structures activated or established,Unknown,unknown,2020-03-15,CN,81003,3203,1330044000
121,China,Asia,Movement restrictions,domestic travel restrictions,Unknown,ministry of health,2020-03-15,CN,81003,3203,1330044000
122,China,Asia,Public health measures,strengthening the public health system,"Two hospitals, namely Huoshenshan and Leishenshan, were built in Wuhan from scratch in days, with a capacity of 1,000 and 1,600 beds respectively, for treating COVID-19 patients. Some public venues were converted into temporary hospitals. China has sent 42,600 healthcare professionals to help battle COVID-19 in Hubei province, and among them, 19,000 specialize in intensive care, according to figures unveiled by health authorities.",ministry of health,2020-03-15,CN,81003,3203,1330044000
123,China,Asia,Governance and socio-economic measures,state of emergency declared,Unknown,novinite,2020-03-15,CN,81003,3203,1330044000
124,China,Asia,Lockdown,partial lockdown,In many regions,ministry of health,2020-03-15,CN,81003,3203,1330044000
125,China,Asia,Movement restrictions,additional health/documents requirements upon arrival,everyone arriving from abroad,french embassy,2020-03-15,CN,81003,3203,1330044000
126,China,Asia,Public health measures,psychological assistance and medical social work,"Patients, health personnel and people in quarantine",ministry of health,2020-03-15,CN,81003,3203,1330044000
127,Congo,Africa,Public health measures,introduction of isolation and quarantine policies,"14day quarantine for high risk countries including mainland China, South Korea, Iran, Italy. Also for travelers with COVID-19 symptoms.",us embassy,2020-03-15,CG,1,0,3039126
128,Congo,Africa,Public health measures,health screenings in airports and border crossings,"Health screenings at airports for COVID-19 symptoms, travelers with symptoms have to quarantine for 14 days",us embassy,2020-03-15,CG,1,0,3039126
129,Congo,Africa,Public health measures,introduction of isolation and quarantine policies,"14day quarantine for high risk countries including mainland China, South Korea, Iran, Italy. Also for travelers with COVID-19 symptoms.",french embassy,2020-03-15,CG,1,0,3039126
130,Canada,Americas,Movement restrictions,Border closure,"All non-essential travel outside of Canada, cruise ships unable to dock in country until 1 July",government of canada,2020-03-15,CA,250,1,33679000
131,Canada,Americas,Social distancing,limit public gatherings,"British Columbia, Alberta and Quebec have all banned events larger than 250 people. New Brunswick and Nova Scotia limiting 150. ",the guardian,2020-03-15,CA,250,1,33679000
132,Canada,Americas,Public health measures,introduction of isolation and quarantine policies,14  day quarantine for those with symptoms or those returning from cruise ships. Elderly (those over 70) told to stay home,government of canada,2020-03-15,CA,250,1,33679000
133,Canada,Americas,Public health measures,strengthening the public health system,provinces and territories with critical health care systems will be given 500 million ,government of canada,2020-03-15,CA,250,1,33679000
134,Canada,Americas,Public health measures,health screenings in airports and border crossings,Unknown,us embassy ,2020-03-15,CA,250,1,33679000
135,Canada,Americas,Movement restrictions,international flights suspension,Restricted arrival from other countries into specific airports,unknown,2020-03-15,CA,250,1,33679000
136,Thailand,Asia,Public health measures,health screenings in airports and border crossings,"Anyone who has been in Italy, South Korea, China, or Iran in the last 14 days will be made to quarantine ",unknown,2020-03-15,TH,114,1,67089500
137,New Zealand,Pacific,Public health measures,introduction of isolation and quarantine policies,All new arrivals from other countries must self-quarantine for 14 days (except for those arriving from selected Pacific countries).,ministry of health,2020-03-15,NZ,8,0,4252277
138,New Zealand,Pacific,Movement restrictions,visa restrictions,Non-residents of New Zealand who have been to China or Iran in the last 14 days will not be allowed to enter the country ,iata,2020-03-15,NZ,8,0,4252277
139,United Kingdom,Europe,Governance and socio-economic measures,economic measures,A Covid-19 fund aimed at supporting the economy (small business etc),united kingdom ,2020-03-15,GB,1144,21,62348447
140,United Kingdom,Europe,Public health measures,strengthening the public health system,5 billion provided to the NHS to ensure staffing levels,united kingdom ,2020-03-15,GB,1144,21,62348447
141,United Kingdom,Europe,Public health measures,introduction of isolation and quarantine policies,7 day self-quarantine for those with cough or fever.,united kingdom ,2020-03-15,GB,1144,21,62348447
142,Bangladesh,Asia,Movement restrictions,international flights suspension,"Restrictions on flights arriving from Europe, excepting the UK",uk government travel advice,2020-03-15,BD,5,0,156118464
143,Bangladesh,Asia,Movement restrictions,visa restrictions,Suspension of all visas on arrival,uk government travel advice,2020-03-15,BD,5,0,156118464
144,Antigua and Barbuda,Americas,Movement restrictions,visa restrictions,"    Passengers and airline crew who have been in China, Iran, Italy, Japan, Korea, or Singapore in the past 28 days are not allowed to enter Antigua and Barbuda. Nationals and resident diplomats of Antigua and Barbuda who have been in China, Iran, Italy, Japan, Korea, or Singapore in the past 28 days are allowed entry. Airlines must provide their advance passenger information before departure. ",us embassy,2020-03-15,AG,1,0,86754
145,United States of America,Americas,Movement restrictions,visa restrictions,"Non-residents and non-citizens of the US who have travelled in the last 14 days to: China, Iran, Austria, Belgium, Czechia, Denmark, Estonia, Finland, France, Germany, Greece, Hungary, Iceland, Italy, Latvia, Liechtenstein, Lithuania, Luxembourg, Malta, Netherlands, Norway, Poland, Portugal, Slovakia, Slovenia, Spain, Sweden or in Switzerland, and the UK",us government ,2020-03-15,US,3499,63,310232863
146,United States of America,Americas,Public health measures,health screenings in airports and border crossings,Screenings are being undertaken at selected airports ,us government ,2020-03-15,US,3499,63,310232863
147,United States of America,Americas,Governance and socio-economic measures,state of emergency declared,declaration of national emergency,us state department,2020-03-15,US,3499,63,310232863
148,United States of America,Americas,Governance and socio-economic measures,economic measures,Plans to support small business and ensure workers can take time off,unknown,2020-03-15,US,3499,63,310232863
149,Central African Republic,Africa,Movement restrictions,additional health/documents requirements upon arrival,Travelers ariving from China in CAR are required to fill out a health questionnaire,faapa,2020-03-15,CF,1,0,4844927
150,Central African Republic,Africa,Movement restrictions,additional health/documents requirements upon arrival,All travelers arriving are required to fill out a health questionnaire,ministry of health,2020-03-15,CF,1,0,4844927
151,Central African Republic,Africa,Public health measures,health screenings in airports and border crossings,"Temperatures at entry points, all travelers with fever (above 38 degrees) and/or respiratory symptoms have to undergo further tests, so do passengers who have been to countries with local COVID-19 transmissions in the 14 days before their arrival to CAR",ministry of health,2020-03-15,CF,1,0,4844927
152,Central African Republic,Africa,Public health measures,introduction of isolation and quarantine policies,14 day selfquarantine for any traveler entering CAR from a country with local COVID-19 transmissions,us embassy,2020-03-15,CF,1,0,4844927
153,Central African Republic,Africa,Social distancing,Public services closure,government members are banned from travel to countries with local transmission of COVID-19,us embassy,2020-03-15,CF,1,0,4844927
154,Central African Republic,Africa,Social distancing,limit public gatherings,public gatherings are restricted,us embassy,2020-03-15,CF,1,0,4844927
155,Central African Republic,Africa,Public health measures,strengthening the public health system,public spaces need to install hand-washing devices,us embassy,2020-03-15,CF,1,0,4844927
156,Central African Republic,Africa,Public health measures,awareness campaigns,no handshakes or kissing to greet,us embassy,2020-03-15,CF,1,0,4844927
157,India,Asia,Movement restrictions,visa restrictions,"Suspension of all visas except diplomatic, offical, UN, employment and project until April 15th",bureau of immigration,2020-03-15,IN,113,2,1173108018
158,India,Asia,Public health measures,introduction of isolation and quarantine policies,"Incoming travelers (including Indians) have visited China, Italy, Iran, Republic of Korea, France, Spain and Germany after 15th February, 2020 quarantine 14 days",bureau of immigration,2020-03-15,IN,113,2,1173108018
159,India,Asia,Movement restrictions,additional health/documents requirements upon arrival,Incoming travelers having visited Italy or Korea to produce negative COVID-19 health certificate ,bureau of immigration,2020-03-15,IN,113,2,1173108018
160,India,Asia,Governance and socio-economic measures,economic measures,Assistance to COVID-19 victims and families of deceased,new delhi tv,2020-03-15,IN,113,2,1173108018
161,Seychelles,Africa,Social distancing,limit public gatherings,Unknown,xinhuanet,2020-03-15,SC,2,0,88340
162,Seychelles,Africa,Public health measures,introduction of isolation and quarantine policies,people with symptomes,xinhuanet,2020-03-15,SC,2,0,88340
163,Seychelles,Africa,Public health measures,health screenings in airports and border crossings,Unknown,us embassy,2020-03-15,SC,2,0,88340
164,Morocco,Africa,Movement restrictions,Border closure,"Closed air and sea borders to anyone travelling from a number of countries reporting cases of coronavirus, included Spain and Gibraltar",unknown,2020-03-15,MA,28,1,33848242
165,Uzbekistan,Asia,Movement restrictions,international flights suspension,"South Korea, Afghanistan, Iran, and Italy",garda,2020-03-15,UZ,1,0,27865738
166,Uzbekistan,Asia,Social distancing,limit public gatherings,International events and conferences,us embassy,2020-03-15,UZ,1,0,27865738
167,Uzbekistan,Asia,Public health measures,introduction of isolation and quarantine policies,Everyone travelling from affected areas,us embassy,2020-03-15,UZ,1,0,27865738
168,Singapore,Asia,Social distancing,limit public gatherings,Unknown,international sos,2020-03-15,SG,226,0,4701069
169,Singapore,Asia,Public health measures,general recommendations,"Home office, temperature regular checks.",international sos,2020-03-15,SG,226,0,4701069
170,Slovakia,Europe,Movement restrictions,Border closure,for all non-residents,international sos,2020-03-15,SK,54,0,5455000
171,Slovakia,Europe,Public health measures,introduction of isolation and quarantine policies,For all people coming from abroad 14 days.,international sos,2020-03-15,SK,54,0,5455000
